age,JobType,EdType,maritalstatus,occupation,race,gender,nativecountry,SalStat
52,Self emp not inc,Bachelors,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
20,Private,HS grad,Never married,Handlers cleaners,Amer Indian Eskimo,Male,United States,"less than or equal to 50,000"
43,Self emp inc,Masters,Married civ spouse,Exec managerial,White,Male,United States,"less than or equal to 50,000"
45,Private,7th 8th,Separated,Other service,White,Female,Mexico,"less than or equal to 50,000"
29,Self emp not inc,HS grad,Separated,Craft repair,White,Male,United States,"less than or equal to 50,000"
47,Private,Masters,Divorced,Exec managerial,White,Male,United States,"less than or equal to 50,000"
24,Private,HS grad,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
51,Private,HS grad,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
17,Private,11th,Never married,Sales,White,Male,United States,"less than or equal to 50,000"
37,Private,Assoc voc,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
27,Private,Doctorate,Never married,Prof specialty,White,Female,United States,"less than or equal to 50,000"
29,Private,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
36,Self emp not inc,Assoc acdm,Divorced,Sales,White,Female,United States,"less than or equal to 50,000"
58,Local gov,Bachelors,Never married,Prof specialty,White,Female,United States,"less than or equal to 50,000"
26,Self emp not inc,Some college,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
57,Private,HS grad,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
59,Private,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
27,Private,HS grad,Married civ spouse,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
31,Self emp not inc,Bachelors,Never married,Tech support,White,Male,United States,"less than or equal to 50,000"
21,Private,Some college,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
29,Private,Some college,Never married,Adm clerical,White,Male,United States,"less than or equal to 50,000"
18,Private,11th,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
52,Private,10th,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
57,Self emp inc,Bachelors,Divorced,Prof specialty,White,Male,United States,"less than or equal to 50,000"
60,Private,7th 8th,Never married,Transport moving,White,Male,United States,"greater than 50,000"
31,Private,Bachelors,Married civ spouse,Prof specialty,White,Male,Canada,"greater than 50,000"
23,Private,Bachelors,Never married,Adm clerical,White,Female,United States,"less than or equal to 50,000"
27,Private,HS grad,Never married,Sales,White,Male,United States,"less than or equal to 50,000"
42,Self emp not inc,Prof school,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
25,Private,Some college,Never married,Tech support,White,Male,United States,"less than or equal to 50,000"
49,Private,Bachelors,Never married,Prof specialty,White,Female,United States,"less than or equal to 50,000"
32,Private,Bachelors,Never married,Tech support,White,Male,United States,"less than or equal to 50,000"
19,Private,Some college,Never married,Adm clerical,White,Male,United States,"less than or equal to 50,000"
60,Private,7th 8th,Divorced,Other service,White,Female,United States,"less than or equal to 50,000"
42,Local gov,9th,Married civ spouse,Other service,White,Male,United States,"less than or equal to 50,000"
35,Self emp not inc,Assoc acdm,Never married,Farming fishing,White,Male,United States,"less than or equal to 50,000"
48,Private,HS grad,Never married,Adm clerical,Black,Female,United States,"less than or equal to 50,000"
51,Private,Masters,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
29,Private,HS grad,Never married,Craft repair,Amer Indian Eskimo,Male,United States,"less than or equal to 50,000"
36,Local gov,HS grad,Separated,Exec managerial,Black,Male,United States,"less than or equal to 50,000"
17,Private,10th,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
52,Private,Masters,Divorced,Prof specialty,White,Female,United States,"less than or equal to 50,000"
24,Private,HS grad,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
24,Private,HS grad,Married civ spouse,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
26,Local gov,Bachelors,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
27,Private,Bachelors,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
39,Private,HS grad,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
30,Private,HS grad,Married civ spouse,Transport moving,Black,Male,United States,"less than or equal to 50,000"
50,Self emp not inc,HS grad,Married civ spouse,Exec managerial,White,Male,United States,"less than or equal to 50,000"
52,Self emp inc,Bachelors,Married civ spouse,Sales,White,Male,United States,"less than or equal to 50,000"
46,Private,Prof school,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
23,Private,Bachelors,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
45,Private,11th,Widowed,Other service,Black,Female,United States,"less than or equal to 50,000"
65,Private,9th,Widowed,Priv house serv,Black,Female,United States,"less than or equal to 50,000"
29,Private,Assoc voc,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
47,Private,9th,Married spouse absent,Handlers cleaners,White,Male,El Salvador,"less than or equal to 50,000"
30,Private,HS grad,Never married,Farming fishing,Black,Male,United States,"less than or equal to 50,000"
34,Private,HS grad,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
38,Self emp not inc,HS grad,Married civ spouse,Sales,White,Male,United States,"less than or equal to 50,000"
33,Private,Some college,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
49,Private,Bachelors,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
47,Self emp not inc,Some college,Never married,Other service,Black,Female,United States,"less than or equal to 50,000"
49,Local gov,10th,Separated,Other service,Black,Female,United States,"less than or equal to 50,000"
43,Private,Some college,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
30,Private,Bachelors,Married civ spouse,Adm clerical,Black,Female,United States,"greater than 50,000"
58,Self emp not inc,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
19,Private,HS grad,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
21,Private,Bachelors,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
33,Private,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
47,Self emp inc,5th 6th,Married civ spouse,Transport moving,White,Male,Cuba,"less than or equal to 50,000"
52,Self emp not inc,Doctorate,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
26,Private,HS grad,Divorced,Craft repair,White,Male,United States,"less than or equal to 50,000"
60,Private,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
21,Private,Some college,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
36,Private,Some college,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
31,Private,Some college,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
50,Self emp inc,Doctorate,Separated,Prof specialty,White,Male,United States,"greater than 50,000"
31,Local gov,HS grad,Divorced,Adm clerical,White,Female,United States,"less than or equal to 50,000"
30,State gov,Bachelors,Married civ spouse,Tech support,White,Male,United States,"greater than 50,000"
20,Private,Some college,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
24,Private,HS grad,Never married,Exec managerial,White,Male,United States,"less than or equal to 50,000"
35,Private,Doctorate,Married civ spouse,Prof specialty,Asian Pac Islander,Male,Taiwan,"greater than 50,000"
38,State gov,Some college,Separated,Exec managerial,White,Female,United States,"less than or equal to 50,000"
27,Private,HS grad,Never married,Machine op inspct,White,Female,United States,"less than or equal to 50,000"
29,State gov,Some college,Never married,Adm clerical,Asian Pac Islander,Female,Philippines,"less than or equal to 50,000"
34,Private,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
44,Private,7th 8th,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
43,Private,HS grad,Married civ spouse,Machine op inspct,White,Male,United States,"greater than 50,000"
44,Self emp not inc,12th,Married civ spouse,Handlers cleaners,Black,Male,United States,"greater than 50,000"
35,Private,Masters,Never married,Sales,White,Male,United States,"less than or equal to 50,000"
27,Private,Some college,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
43,Local gov,Masters,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
20,Private,Some college,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
42,Private,Assoc acdm,Divorced,Prof specialty,White,Female,United States,"greater than 50,000"
27,State gov,Some college,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
42,Private,HS grad,Married civ spouse,Craft repair,Black,Male,United States,"greater than 50,000"
24,Private,9th,Never married,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
48,Federal gov,Some college,Divorced,Exec managerial,White,Male,United States,"less than or equal to 50,000"
17,Self emp not inc,11th,Never married,Farming fishing,White,Male,United States,"less than or equal to 50,000"
33,Private,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
50,Self emp inc,HS grad,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
22,Private,HS grad,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
17,Private,12th,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
32,Private,Some college,Married civ spouse,Adm clerical,White,Male,Mexico,"less than or equal to 50,000"
31,Private,HS grad,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
58,Self emp not inc,HS grad,Widowed,Exec managerial,White,Male,United States,"less than or equal to 50,000"
29,Local gov,HS grad,Never married,Protective serv,White,Male,United States,"less than or equal to 50,000"
37,Private,Assoc voc,Married civ spouse,Craft repair,White,Male,Portugal,"greater than 50,000"
34,Self emp not inc,HS grad,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
23,Local gov,Some college,Separated,Exec managerial,Black,Male,United States,"less than or equal to 50,000"
18,State gov,11th,Never married,Adm clerical,White,Female,United States,"less than or equal to 50,000"
34,Private,HS grad,Divorced,Exec managerial,White,Female,United States,"less than or equal to 50,000"
45,Local gov,Bachelors,Married civ spouse,Prof specialty,White,Female,United States,"less than or equal to 50,000"
41,Private,Masters,Never married,Exec managerial,White,Male,Dominican Republic,"less than or equal to 50,000"
26,Private,HS grad,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
54,Local gov,Some college,Married civ spouse,Farming fishing,White,Male,United States,"less than or equal to 50,000"
24,Private,Some college,Never married,Machine op inspct,Black,Female,United States,"less than or equal to 50,000"
42,Private,Some college,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
20,Private,Some college,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
23,State gov,Bachelors,Never married,Tech support,White,Female,United States,"less than or equal to 50,000"
35,Private,Masters,Never married,Prof specialty,White,Male,United States,"greater than 50,000"
31,Private,Masters,Married civ spouse,Tech support,White,Male,United States,"greater than 50,000"
30,Private,Bachelors,Never married,Prof specialty,White,Female,Poland,"less than or equal to 50,000"
19,Private,HS grad,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
36,Local gov,Bachelors,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
31,Private,Bachelors,Widowed,Sales,White,Female,Cuba,"less than or equal to 50,000"
21,Private,Some college,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
31,Self emp not inc,Some college,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
46,Private,Doctorate,Divorced,Prof specialty,White,Female,United States,"greater than 50,000"
44,Private,Bachelors,Divorced,Exec managerial,White,Female,United States,"greater than 50,000"
40,Private,12th,Married civ spouse,Other service,Black,Male,Jamaica,"less than or equal to 50,000"
45,Private,Some college,Never married,Sales,Black,Male,United States,"less than or equal to 50,000"
60,Private,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
18,Private,11th,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
28,Private,Bachelors,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
36,Private,Some college,Divorced,Adm clerical,Black,Female,United States,"less than or equal to 50,000"
40,Private,Assoc voc,Married civ spouse,Tech support,White,Male,United States,"less than or equal to 50,000"
36,Local gov,Bachelors,Divorced,Adm clerical,White,Female,Honduras,"less than or equal to 50,000"
31,Private,HS grad,Separated,Other service,Black,Female,United States,"less than or equal to 50,000"
33,Private,HS grad,Married civ spouse,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
19,State gov,HS grad,Never married,Tech support,White,Female,United States,"less than or equal to 50,000"
22,Private,Some college,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
34,Private,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
33,Private,HS grad,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
41,Private,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
29,Private,Bachelors,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
50,Local gov,HS grad,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
42,Private,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
44,Private,HS grad,Married civ spouse,Sales,White,Female,United States,"less than or equal to 50,000"
20,Private,Some college,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
31,Private,HS grad,Married civ spouse,Other service,White,Male,Mexico,"less than or equal to 50,000"
23,Private,Some college,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
55,Private,Some college,Divorced,Adm clerical,Asian Pac Islander,Female,United States,"less than or equal to 50,000"
26,Private,Assoc voc,Married civ spouse,Adm clerical,White,Male,United States,"less than or equal to 50,000"
25,Private,Assoc voc,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
35,Private,Some college,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
36,Private,Some college,Never married,Sales,Black,Female,United States,"less than or equal to 50,000"
43,State gov,Bachelors,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
56,Private,HS grad,Widowed,Other service,Black,Female,United States,"less than or equal to 50,000"
42,Private,Bachelors,Married civ spouse,Tech support,White,Male,United States,"greater than 50,000"
19,Private,Some college,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
55,Self emp not inc,HS grad,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
42,Private,Masters,Never married,Exec managerial,White,Female,United States,"greater than 50,000"
26,Private,Assoc voc,Never married,Tech support,White,Male,United States,"less than or equal to 50,000"
17,Private,12th,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
42,Local gov,Bachelors,Married civ spouse,Prof specialty,White,Female,United States,"greater than 50,000"
55,Private,HS grad,Married civ spouse,Transport moving,White,Male,United States,"greater than 50,000"
32,Private,Some college,Never married,Adm clerical,Black,Female,United States,"less than or equal to 50,000"
29,Private,11th,Never married,Craft repair,Black,Male,Haiti,"less than or equal to 50,000"
46,State gov,Bachelors,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
29,State gov,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
22,Private,Bachelors,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
58,Self emp not inc,10th,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
23,Private,HS grad,Never married,Transport moving,White,Male,United States,"less than or equal to 50,000"
39,Private,HS grad,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
27,Private,Assoc voc,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
54,Private,HS grad,Married civ spouse,Transport moving,White,Male,United States,"greater than 50,000"
33,Local gov,Bachelors,Never married,Prof specialty,White,Female,United States,"less than or equal to 50,000"
46,Federal gov,HS grad,Married civ spouse,Adm clerical,White,Female,United States,"greater than 50,000"
37,Private,HS grad,Never married,Farming fishing,Black,Male,United States,"less than or equal to 50,000"
36,Private,HS grad,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
59,Local gov,HS grad,Married civ spouse,Adm clerical,White,Female,United States,"greater than 50,000"
34,Local gov,HS grad,Divorced,Protective serv,White,Male,Portugal,"less than or equal to 50,000"
53,Self emp inc,Doctorate,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
51,Private,Bachelors,Never married,Sales,White,Male,United States,"greater than 50,000"
32,Private,10th,Separated,Other service,White,Female,United States,"less than or equal to 50,000"
31,State gov,Some college,Married spouse absent,Other service,White,Male,United States,"less than or equal to 50,000"
22,Private,Some college,Married civ spouse,Sales,White,Female,Germany,"less than or equal to 50,000"
47,Self emp not inc,Bachelors,Divorced,Sales,White,Female,United States,"less than or equal to 50,000"
32,Private,HS grad,Never married,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
26,Private,Some college,Never married,Farming fishing,White,Female,United States,"less than or equal to 50,000"
37,Private,5th 6th,Separated,Farming fishing,White,Male,Guatemala,"less than or equal to 50,000"
31,Private,HS grad,Divorced,Craft repair,White,Male,United States,"less than or equal to 50,000"
37,Private,Assoc voc,Married civ spouse,Tech support,White,Female,United States,"greater than 50,000"
55,Private,HS grad,Never married,Sales,White,Male,United States,"less than or equal to 50,000"
23,Local gov,Assoc voc,Divorced,Tech support,White,Male,United States,"less than or equal to 50,000"
36,Private,Some college,Divorced,Adm clerical,White,Female,United States,"less than or equal to 50,000"
43,Private,Bachelors,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
54,Private,Some college,Never married,Tech support,White,Male,United States,"less than or equal to 50,000"
28,Private,Assoc voc,Never married,Machine op inspct,White,Female,United States,"less than or equal to 50,000"
40,Private,Assoc voc,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
41,Self emp not inc,Some college,Married civ spouse,Exec managerial,White,Male,United States,"less than or equal to 50,000"
42,Private,Some college,Divorced,Adm clerical,Black,Female,United States,"less than or equal to 50,000"
61,Self emp not inc,HS grad,Married civ spouse,Farming fishing,White,Male,United States,"less than or equal to 50,000"
18,Private,12th,Never married,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
48,Private,Assoc voc,Married civ spouse,Tech support,White,Male,United States,"greater than 50,000"
41,Self emp inc,Bachelors,Married civ spouse,Tech support,White,Male,United States,"less than or equal to 50,000"
23,Private,HS grad,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
60,Private,HS grad,Married civ spouse,Transport moving,White,Male,United States,"greater than 50,000"
22,Private,Some college,Never married,Other service,Black,Male,United States,"less than or equal to 50,000"
61,Private,HS grad,Married civ spouse,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
25,Private,HS grad,Never married,Machine op inspct,Black,Male,United States,"less than or equal to 50,000"
46,Private,Masters,Never married,Tech support,White,Male,United States,"greater than 50,000"
